,Computer Science,Physics,Mathematics,Statistics,Quantitative Biology,Quantitative Finance,ID
368,0,0,1,0,0,0,21341
369,0,0,1,0,0,0,21342
370,0,1,0,0,0,0,21343
371,0,0,1,0,0,0,21344
372,1,0,0,0,0,0,21345
373,1,0,0,0,0,0,21346
374,1,0,0,0,0,0,21347
375,1,0,0,0,0,0,21348
376,1,0,0,0,0,0,21349
377,1,0,0,0,0,0,21350
378,0,0,1,0,0,0,21351
379,0,1,0,0,0,0,21352
380,1,0,0,0,0,0,21353
381,0,0,1,0,0,0,21354
382,1,0,0,0,0,0,21355
383,0,0,1,0,0,0,21356
384,1,0,0,0,0,0,21357
385,1,0,0,0,0,0,21358
386,1,0,0,0,0,0,21359
387,1,0,0,0,0,0,21360
388,0,0,1,0,0,0,21361
389,0,0,1,0,0,0,21362
390,0,0,1,0,0,0,21363
391,1,0,0,0,0,0,21364
392,0,0,1,0,0,0,21365
393,0,1,0,0,0,0,21366
394,1,0,0,0,0,0,21367
395,0,1,0,0,0,0,21368
396,1,0,0,0,0,0,21369
397,1,0,0,0,0,0,21370
398,1,0,0,0,0,0,21371
399,1,0,0,0,0,0,21372
400,1,0,0,0,0,0,21373
401,0,1,0,0,0,0,21374
402,1,0,0,0,0,0,21375
403,0,0,1,0,0,0,21376
404,0,1,0,0,0,0,21377
405,1,0,0,0,0,0,21378
406,0,0,1,0,0,0,21379
407,1,0,0,0,0,0,21380
408,1,0,0,0,0,0,21381
409,0,0,1,0,0,0,21382
410,1,0,0,0,0,0,21383
411,1,0,0,0,0,0,21384
412,0,0,1,0,0,0,21385
413,0,1,0,0,0,0,21386
414,0,1,0,0,0,0,21387
415,0,0,1,0,0,0,21388
416,0,0,1,0,0,0,21389
417,0,0,1,0,0,0,21390
418,0,1,0,0,0,0,21391
419,0,1,0,0,0,0,21392
420,1,0,0,0,0,0,21393
421,1,0,0,0,0,0,21394
422,0,0,1,0,0,0,21395
423,0,1,0,0,0,0,21396
424,1,0,0,0,0,0,21397
425,0,0,1,0,0,0,21398
426,0,0,1,0,0,0,21399
427,0,1,0,0,0,0,21400
428,1,0,0,0,0,0,21401
429,0,0,0,1,0,0,21402
430,0,1,0,0,0,0,21403
431,0,0,1,0,0,0,21404
432,0,0,1,0,0,0,21405
433,1,0,0,0,0,0,21406
434,0,0,1,0,0,0,21407
435,1,0,0,0,0,0,21408
436,0,0,1,0,0,0,21409
437,0,0,1,0,0,0,21410
438,0,0,1,0,0,0,21411
439,0,1,0,0,0,0,21412
440,0,0,0,0,0,1,21413
441,0,1,0,0,0,0,21414
442,0,1,0,0,0,0,21415
443,1,0,0,0,0,0,21416
444,1,0,0,0,0,0,21417
445,1,0,0,0,0,0,21418
446,0,0,1,0,0,0,21419
447,1,0,0,0,0,0,21420
448,1,0,0,0,0,0,21421
449,1,0,0,0,0,0,21422
450,1,0,0,0,0,0,21423
451,0,1,0,0,0,0,21424
452,0,1,0,0,0,0,21425
453,0,1,0,0,0,0,21426
454,1,0,0,0,0,0,21427
455,0,0,0,1,0,0,21428
456,0,1,0,0,0,0,21429
457,1,0,0,0,0,0,21430
458,1,0,0,0,0,0,21431
459,0,1,0,0,0,0,21432
460,0,1,0,0,0,0,21433
461,0,1,0,0,0,0,21434
462,1,0,0,0,0,0,21435
463,0,1,0,0,0,0,21436
464,1,0,0,0,0,0,21437
465,0,1,0,0,0,0,21438
466,1,0,0,0,0,0,21439
467,0,0,1,0,0,0,21440
468,0,1,0,0,0,0,21441
469,1,0,0,0,0,0,21442
470,1,0,0,0,0,0,21443
471,1,0,0,0,0,0,21444
472,0,1,0,0,0,0,21445
473,0,1,0,0,0,0,21446
474,0,0,1,0,0,0,21447
475,0,1,0,0,0,0,21448
476,0,1,0,0,0,0,21449
477,0,0,1,0,0,0,21450
478,1,0,0,0,0,0,21451
479,1,0,0,0,0,0,21452
480,0,0,1,0,0,0,21453
481,1,0,0,0,0,0,21454
482,0,0,1,0,0,0,21455
483,0,1,0,0,0,0,21456
484,1,0,0,0,0,0,21457
485,1,0,0,0,0,0,21458
486,0,0,1,0,0,0,21459
487,1,0,0,0,0,0,21460
488,0,0,1,0,0,0,21461
489,0,1,0,0,0,0,21462
490,1,0,0,0,0,0,21463
491,1,0,0,0,0,0,21464
492,0,1,0,0,0,0,21465
493,1,0,0,0,0,0,21466
494,1,0,0,0,0,0,21467
495,0,0,1,0,0,0,21468
496,0,0,1,0,0,0,21469
497,1,0,0,0,0,0,21470
498,0,1,0,0,0,0,21471
499,0,1,0,0,0,0,21472
500,0,0,1,0,0,0,21473
501,0,1,0,0,0,0,21474
502,1,0,0,0,0,0,21475
503,1,0,0,0,0,0,21476
504,1,0,0,0,0,0,21477
505,0,0,1,0,0,0,21478
506,1,0,0,0,0,0,21479
507,1,0,0,0,0,0,21480
508,1,0,0,0,0,0,21481
509,1,0,0,0,0,0,21482
510,1,0,0,0,0,0,21483
511,1,0,0,0,0,0,21484
512,0,1,0,0,0,0,21485
513,1,0,0,0,0,0,21486
514,0,1,0,0,0,0,21487
515,1,0,0,0,0,0,21488
516,1,0,0,0,0,0,21489
517,0,0,1,0,0,0,21490
518,0,0,0,1,0,0,21491
519,0,1,0,0,0,0,21492
520,0,1,0,0,0,0,21493
521,1,0,0,0,0,0,21494
522,0,1,0,0,0,0,21495
523,0,0,1,0,0,0,21496
524,0,0,1,0,0,0,21497
525,1,0,0,0,0,0,21498
526,1,0,0,0,0,0,21499
527,1,0,0,0,0,0,21500
528,1,0,0,0,0,0,21501
529,0,0,1,0,0,0,21502
530,0,0,1,0,0,0,21503
531,0,0,1,0,0,0,21504
532,0,1,0,0,0,0,21505
533,0,1,0,0,0,0,21506
534,1,0,0,0,0,0,21507
535,1,0,0,0,0,0,21508
536,1,0,0,0,0,0,21509
537,0,1,0,0,0,0,21510
538,1,0,0,0,0,0,21511
539,0,1,0,0,0,0,21512
540,0,0,1,0,0,0,21513
541,1,0,0,0,0,0,21514
542,0,1,0,0,0,0,21515
543,0,0,1,0,0,0,21516
544,1,0,0,0,0,0,21517
545,0,0,1,0,0,0,21518
546,1,0,0,0,0,0,21519
547,0,1,0,0,0,0,21520
548,0,1,0,0,0,0,21521
549,0,1,0,0,0,0,21522
550,1,0,0,0,0,0,21523
551,0,1,0,0,0,0,21524
552,0,1,0,0,0,0,21525
553,0,1,0,0,0,0,21526
554,1,0,0,0,0,0,21527
555,0,1,0,0,0,0,21528
556,0,1,0,0,0,0,21529
557,1,0,0,0,0,0,21530
558,1,0,0,0,0,0,21531
559,1,0,0,0,0,0,21532
560,1,0,0,0,0,0,21533
561,1,0,0,0,0,0,21534
562,1,0,0,0,0,0,21535
563,0,1,0,0,0,0,21536
564,0,0,1,0,0,0,21537
565,0,0,1,0,0,0,21538
566,1,0,0,0,0,0,21539
567,1,0,0,0,0,0,21540
568,0,0,0,0,0,1,21541
569,0,1,0,0,0,0,21542
570,1,0,0,0,0,0,21543
571,1,0,0,0,0,0,21544
572,1,0,0,0,0,0,21545
573,0,1,0,0,0,0,21546
574,0,1,0,0,0,0,21547
575,1,0,0,0,0,0,21548
576,1,0,0,0,0,0,21549
577,1,0,0,0,0,0,21550
578,1,0,0,0,0,0,21551
579,0,1,0,0,0,0,21552
580,1,0,0,0,0,0,21553
581,0,0,1,0,0,0,21554
582,0,0,1,0,0,0,21555
583,1,0,0,0,0,0,21556
584,0,1,0,0,0,0,21557
585,0,1,0,0,0,0,21558
586,1,0,0,0,0,0,21559
587,1,0,0,0,0,0,21560
588,0,0,1,0,0,0,21561
589,0,1,0,0,0,0,21562
590,0,0,1,0,0,0,21563
591,1,0,0,0,0,0,21564
592,1,0,0,0,0,0,21565
593,0,1,0,0,0,0,21566
594,1,0,0,0,0,0,21567
595,0,1,0,0,0,0,21568
596,1,0,0,0,0,0,21569
597,0,0,1,0,0,0,21570
598,0,1,0,0,0,0,21571
599,1,0,0,0,0,0,21572
600,0,0,1,0,0,0,21573
601,1,0,0,0,0,0,21574
602,0,0,1,0,0,0,21575
603,1,0,0,0,0,0,21576
604,0,0,1,0,0,0,21577
605,0,1,0,0,0,0,21578
606,0,1,0,0,0,0,21579
607,0,0,1,0,0,0,21580
608,0,1,0,0,0,0,21581
609,1,0,0,0,0,0,21582
610,0,1,0,0,0,0,21583
611,1,0,0,0,0,0,21584
612,1,0,0,0,0,0,21585
613,1,0,0,0,0,0,21586
614,1,0,0,0,0,0,21587
615,1,0,0,0,0,0,21588
616,0,0,1,0,0,0,21589
617,0,1,0,0,0,0,21590
618,1,0,0,0,0,0,21591
619,1,0,0,0,0,0,21592
620,1,0,0,0,0,0,21593
621,1,0,0,0,0,0,21594
622,1,0,0,0,0,0,21595
623,1,0,0,0,0,0,21596
624,1,0,0,0,0,0,21597
625,0,1,0,0,0,0,21598
626,1,0,0,0,0,0,21599
627,0,0,1,0,0,0,21600
628,1,0,0,0,0,0,21601
629,1,0,0,0,0,0,21602
630,1,0,0,0,0,0,21603
631,0,1,0,0,0,0,21604
632,0,1,0,0,0,0,21605
633,0,1,0,0,0,0,21606
634,1,0,0,0,0,0,21607
635,1,0,0,0,0,0,21608
636,0,0,1,0,0,0,21609
637,0,1,0,0,0,0,21610
638,0,1,0,0,0,0,21611
639,1,0,0,0,0,0,21612
640,1,0,0,0,0,0,21613
641,0,0,0,1,0,0,21614
642,0,0,1,0,0,0,21615
643,0,0,1,0,0,0,21616
644,0,0,1,0,0,0,21617
645,0,1,0,0,0,0,21618
646,0,1,0,0,0,0,21619
647,1,0,0,0,0,0,21620
648,1,0,0,0,0,0,21621
649,1,0,0,0,0,0,21622
650,1,0,0,0,0,0,21623
651,1,0,0,0,0,0,21624
652,1,0,0,0,0,0,21625
653,0,1,0,0,0,0,21626
654,1,0,0,0,0,0,21627
655,0,0,1,0,0,0,21628
656,0,0,1,0,0,0,21629
657,1,0,0,0,0,0,21630
658,0,0,1,0,0,0,21631
659,0,0,1,0,0,0,21632
660,1,0,0,0,0,0,21633
661,0,0,1,0,0,0,21634
662,0,0,1,0,0,0,21635
663,0,0,1,0,0,0,21636
664,1,0,0,0,0,0,21637
665,1,0,0,0,0,0,21638
666,0,0,0,0,1,0,21639
667,1,0,0,0,0,0,21640
668,1,0,0,0,0,0,21641
669,0,1,0,0,0,0,21642
670,1,0,0,0,0,0,21643
671,1,0,0,0,0,0,21644
672,1,0,0,0,0,0,21645
673,1,0,0,0,0,0,21646
674,0,1,0,0,0,0,21647
675,1,0,0,0,0,0,21648
676,1,0,0,0,0,0,21649
677,1,0,0,0,0,0,21650
678,1,0,0,0,0,0,21651
679,1,0,0,0,0,0,21652
680,0,1,0,0,0,0,21653
681,0,0,1,0,0,0,21654
682,0,1,0,0,0,0,21655
683,1,0,0,0,0,0,21656
684,0,0,1,0,0,0,21657
685,0,1,0,0,0,0,21658
686,1,0,0,0,0,0,21659
687,0,1,0,0,0,0,21660
688,0,0,0,0,0,1,21661
689,0,0,1,0,0,0,21662
690,0,1,0,0,0,0,21663
691,1,0,0,0,0,0,21664
692,1,0,0,0,0,0,21665
693,0,1,0,0,0,0,21666
694,1,0,0,0,0,0,21667
695,1,0,0,0,0,0,21668
696,1,0,0,0,0,0,21669
697,0,0,1,0,0,0,21670
698,1,0,0,0,0,0,21671
699,1,0,0,0,0,0,21672
700,0,1,0,0,0,0,21673
701,1,0,0,0,0,0,21674
702,1,0,0,0,0,0,21675
703,1,0,0,0,0,0,21676
704,0,0,0,1,0,0,21677
705,0,1,0,0,0,0,21678
706,0,0,1,0,0,0,21679
707,1,0,0,0,0,0,21680
708,0,1,0,0,0,0,21681
709,0,0,1,0,0,0,21682
710,0,0,1,0,0,0,21683
711,1,0,0,0,0,0,21684
712,1,0,0,0,0,0,21685
713,1,0,0,0,0,0,21686
714,0,0,1,0,0,0,21687
715,0,0,1,0,0,0,21688
716,1,0,0,0,0,0,21689
717,0,1,0,0,0,0,21690
718,1,0,0,0,0,0,21691
719,0,0,1,0,0,0,21692
720,1,0,0,0,0,0,21693
721,0,0,1,0,0,0,21694
722,0,0,1,0,0,0,21695
723,1,0,0,0,0,0,21696
724,0,0,1,0,0,0,21697
725,0,1,0,0,0,0,21698
726,1,0,0,0,0,0,21699
727,0,0,1,0,0,0,21700
728,0,0,0,1,0,0,21701
729,1,0,0,0,0,0,21702
730,0,0,0,1,0,0,21703
731,0,0,1,0,0,0,21704
732,1,0,0,0,0,0,21705
733,1,0,0,0,0,0,21706
734,1,0,0,0,0,0,21707
735,1,0,0,0,0,0,21708
736,0,0,1,0,0,0,21709
737,1,0,0,0,0,0,21710
738,1,0,0,0,0,0,21711
739,1,0,0,0,0,0,21712
740,0,0,1,0,0,0,21713
741,0,0,0,1,0,0,21714
742,1,0,0,0,0,0,21715
743,0,1,0,0,0,0,21716
744,1,0,0,0,0,0,21717
745,0,0,1,0,0,0,21718
746,0,0,1,0,0,0,21719
747,0,0,0,1,0,0,21720
748,1,0,0,0,0,0,21721
749,0,1,0,0,0,0,21722
750,0,1,0,0,0,0,21723
751,0,1,0,0,0,0,21724
752,1,0,0,0,0,0,21725
753,0,1,0,0,0,0,21726
754,0,1,0,0,0,0,21727
755,0,0,1,0,0,0,21728
756,0,1,0,0,0,0,21729
757,0,0,1,0,0,0,21730
758,0,1,0,0,0,0,21731
759,1,0,0,0,0,0,21732
760,0,1,0,0,0,0,21733
761,1,0,0,0,0,0,21734
762,0,0,1,0,0,0,21735
763,1,0,0,0,0,0,21736
764,1,0,0,0,0,0,21737
765,0,1,0,0,0,0,21738
766,1,0,0,0,0,0,21739
767,0,0,1,0,0,0,21740
768,1,0,0,0,0,0,21741
769,0,1,0,0,0,0,21742
770,1,0,0,0,0,0,21743
771,1,0,0,0,0,0,21744
772,1,0,0,0,0,0,21745
773,0,0,1,0,0,0,21746
774,0,0,1,0,0,0,21747
775,0,0,1,0,0,0,21748
776,0,1,0,0,0,0,21749
777,1,0,0,0,0,0,21750
778,1,0,0,0,0,0,21751
779,1,0,0,0,0,0,21752
780,0,1,0,0,0,0,21753
781,1,0,0,0,0,0,21754
782,0,1,0,0,0,0,21755
783,0,1,0,0,0,0,21756
784,0,0,1,0,0,0,21757
785,0,1,0,0,0,0,21758
786,0,0,0,1,0,0,21759
787,0,0,1,0,0,0,21760
788,0,0,1,0,0,0,21761
789,0,0,1,0,0,0,21762
790,1,0,0,0,0,0,21763
791,0,1,0,0,0,0,21764
792,0,1,0,0,0,0,21765
793,0,1,0,0,0,0,21766
794,0,0,1,0,0,0,21767
795,0,0,1,0,0,0,21768
796,1,0,0,0,0,0,21769
797,0,1,0,0,0,0,21770
798,1,0,0,0,0,0,21771
799,1,0,0,0,0,0,21772
800,0,1,0,0,0,0,21773
801,0,0,1,0,0,0,21774
802,1,0,0,0,0,0,21775
803,0,0,1,0,0,0,21776
804,1,0,0,0,0,0,21777
805,1,0,0,0,0,0,21778
806,1,0,0,0,0,0,21779
807,1,0,0,0,0,0,21780
808,0,1,0,0,0,0,21781
809,0,1,0,0,0,0,21782
810,0,1,0,0,0,0,21783
811,0,0,1,0,0,0,21784
812,0,1,0,0,0,0,21785
813,0,0,1,0,0,0,21786
814,1,0,0,0,0,0,21787
815,0,0,1,0,0,0,21788
816,0,1,0,0,0,0,21789
817,0,1,0,0,0,0,21790
